Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	100	0.3	0.984429	-0.237447	0.251215	0.00048971
2	100	2.9	1.02269	0.41872	0.22921	0.00090532
4	100	2.4	1.44997	0.498145	0.38352	0.00173098
8	100	6.1	1.50927	1.22507	0.479523	0.00340439
16	100	10.4	1.7258	2.6758	0.592772	0.00647616
32	100	14.8	2.07113	3.11484	0.670182	0.0126457
64	100	17	2.0025	3.95354	0.734176	0.0235176
128	100	25.1	1.92091	6.66491	0.692553	0.0438159
256	100	18.1	2.22124	6.10621	0.827956	0.0862345
512	100	21.9	2.10568	7.05722	0.782382	0.156094
1024	100	23.7	1.80917	7.44179	0.797032	0.312072
2048	100	28.6	1.91322	10.8572	0.755473	0.571697
4096	100	26.8	1.60549	10.8117	0.613158	1.09359
8192	100	28.7	1.56624	12.9584	0.668016	2.1055
16384	100	31	1.78045	14.0946	0.694755	5.12296
32768	100	32	1.63707	15.1672	0.670181	10.5104
